Elution Volume (mL),Concentration mg/mL,LogM
16.41176,0.0001147142632368153,6.287937160924279
16.42842,0.0001237548977770491,6.280435415855572
16.44508,0.00013509153231728264,6.272936869667484
16.46174,0.00014853116685751774,6.26544152076123
16.4784,0.00016305480139775126,6.257949367538016
16.49507,0.00017686347593470764,6.250455914184364
16.51173,0.00019047611047494188,6.242970149446635
16.52839,0.0002042197450151757,6.23548757559462
16.54505,0.0002184833795554099,6.228008191029524
16.56171,0.00023213901409564319,6.220531994152553
16.57838,0.00024765968863260136,6.213054498720676
16.59504,0.00026424232317283445,6.205584674334577
16.6117,0.00028275395771306874,6.198118032839275
16.62836,0.00030089759225330245,6.190654572635981
16.64502,0.00031912722679353685,6.183194292125905
16.66168,0.00033852786133376986,6.175737189710254
16.67834,0.00035983449587400403,6.168283263790244
16.69501,0.00038385217041096015,6.160828041480672
16.71167,0.0004114888049511949,6.153380465659823
16.72833,0.0004395364394914284,6.145936061537281
16.74499,0.0004664150740316623,6.138494827514257
16.76165,0.0004932487085718973,6.131056761991958
16.77831,0.0005209503431121308,6.123621863371593
16.79498,0.0005509500176490876,6.116185670180275
16.81164,0.0005820756521893213,6.108757102465911
16.8283,0.0006123132867295556,6.101331696856152
16.84496,0.0006419659212697892,6.093909451752208
16.86162,0.0006721805558100227,6.0864903655552896
16.87829,0.0007041952303469797,6.079069986276553
16.89495,0.0007351268648872139,6.071657214991012
16.91161,0.0007677054994274478,6.064247597815165
16.92827,0.000806547133967681,6.056841133150218
16.94493,0.0008491177685079161,6.0494378193973875
16.9616,0.0008942234430448729,6.042033214027883
16.97826,0.0009419520775851061,6.03463619919181
16.99492,0.0009925857121253403,6.027242330470517
17.01158,0.0010467293466655744,6.019851606265215
17.02824,0.001103105981205808,6.012464024977113
17.0449,0.0011601986157460417,6.005079585007423
17.06157,0.0012163582902829984,5.99769385514752
17.07823,0.0012755529248232329,5.9903156949014225
17.09489,0.0013369795593634669,5.98294067117641
17.11155,0.0013960221939037006,5.975568782373684
17.12821,0.001453807828443935,5.968200026894458
17.14487,0.0015109654629841688,5.96083440313994
17.16153,0.0015680140975244021,5.953471909511341
17.1782,0.0016276417720613588,5.946108127963028
17.19486,0.0016912144066015935,5.938751891666322
17.21152,0.0017589700411418272,5.931398780698204
17.22818,0.001833791675682061,5.924048793459882
17.24484,0.0019144223102222956,5.916701928352564
17.2615,0.001997501944762529,5.909358183777465
17.27817,0.0020830526192994856,5.902013152934251
17.29483,0.0021709002538397196,5.8946756464978805
17.31149,0.0022620868883799538,5.887341255796399
17.32815,0.0023569355229201877,5.880009979231012
17.34481,0.0024529331574604215,5.87268181520293
17.36147,0.002549927792000656,5.865356762113363
17.37814,0.0026482224665376124,5.858030424372715
17.3948,0.002748468101077846,5.850711590228714
17.41146,0.00284745673561808,5.843395862225898
17.42812,0.0029465543701583143,5.836083238765479
17.44478,0.003047559004698548,5.828773718248658
17.46144,0.003150535639238782,5.8214672990766525
17.47811,0.0032567853137757384,5.814159596836049
17.49477,0.0033653539483159732,5.806859377416452
17.51143,0.0034766535828562066,5.799562254544334
17.52809,0.00359187621739644,5.792268226620907
17.54475,0.003709808851936675,5.7849772920473805
17.56141,0.0038298434864769085,5.777689449224969
17.57808,0.003952326861013865,5.770400324881886
17.59474,0.004079123795554099,5.763118662618714
17.6114,0.004209388630094333,5.755840087309325
17.62806,0.004341170664634567,5.748564597354925
17.64472,0.0044746216991748,5.741292191156726
17.66138,0.004611302133715034,5.734022867115934
17.67805,0.004751450608251992,5.726752263067847
17.69471,0.0048928560627922255,5.719489100393136
17.71137,0.005036363987332459,5.712229015078506
17.72803,0.005182386111872693,5.704972005525162
17.74469,0.005329752146412928,5.697718070134316
17.76135,0.005477378180953161,5.690467207307177
17.77802,0.005624137355490118,5.683215065951561
17.79468,0.005772175190030353,5.675970345297344
17.81134,0.0059252631245705865,5.6687286924095
17.828,0.00608350975911082,5.6614901056892455
17.84466,0.006244140393651053,5.654254583537782
17.86132,0.006405530028191287,5.647022124356327
17.87799,0.006568197702728245,5.639788388090661
17.89465,0.0067312563372684785,5.632562051888964
17.91131,0.006894639971808712,5.625338773859938
17.92797,0.007061620606348946,5.618118552404799
17.94463,0.00723480124088918,5.6109013859247545
17.9613,0.007413399915426137,5.603682943537677
17.97796,0.00759485954996637,5.596471884042769
17.99462,0.0077760591845066045,5.589263874725621
18.01128,0.00795641381904684,5.5820589139874475
18.02794,0.008138003453587072,5.574857000229456
18.0446,0.008323105088127307,5.567658131852857
18.06127,0.008512107762664263,5.56045798895014
18.07793,0.008703732397204497,5.553265208365515
18.09459,0.008898132031744731,5.546075468364949
18.11125,0.009094416666284966,5.538888767349655
18.12791,0.0092889683008252,5.531705103720839
18.14457,0.009480636935365432,5.524524475879715
18.16123,0.009669465569905666,5.517346882227491
18.1779,0.009855824244442625,5.510168015616523
18.19456,0.010043677878982858,5.502996487364571
18.21122,0.010234262513523091,5.4958279885041845
18.22788,0.010426820148063325,5.48866251743658
18.24454,0.010621240782603559,5.481500072562963
18.26121,0.010817330457140516,5.474336355821396
18.27787,0.01101444009168075,5.467179960353427
18.29453,0.011209922726220983,5.4600265862821145
18.31119,0.011404842360761218,5.452876232008671
18.32785,0.011602470995301453,5.445728895934304
18.34451,0.011803719629841686,5.438584576460226
18.36118,0.012006572304378644,5.431438986395443
18.37784,0.012206346938918877,5.424300697133849
18.3945,0.01240109357345911,5.417165419675211
18.41116,0.012590572207999345,5.4100331524207395
18.42782,0.01277389684253958,5.402903893771639
