LogM,MMD
6.287937160924279,3.1308547888858806e-05
6.280435415855572,3.3783178371852355e-05
6.272936869667484,3.689363629250528e-05
6.26544152076123,4.058131700003772e-05
6.257949367538016,4.456842969584953e-05
6.250455914184364,4.8363440770500256e-05
6.242970149446635,5.210803760025995e-05
6.23548757559462,5.589167028210347e-05
6.228008191029524,5.982089480822324e-05
6.220531994152553,6.358691614208305e-05
6.213054498720676,6.786723788747742e-05
6.205584674334577,7.244231659613658e-05
6.198118032839275,7.755034400791866e-05
6.190654572635981,8.256173669414062e-05
6.183194292125905,8.760099162073598e-05
6.175737189710254,9.296610254358828e-05
6.168283263790244,9.885941359624445e-05
6.160828041480672,0.00010550289104494808
6.153380465659823,0.00011314708865028414
6.145936061537281,0.00012091083780587541
6.138494827514257,0.0001283594634790486
6.131056761991958,0.00013580201943384068
6.123621863371593,0.00014348996878451169
6.116185670180275,0.00015181771541749703
6.108757102465911,0.00016046288490962322
6.101331696856152,0.0001688704820980787
6.093909451752208,0.0001771237981736651
6.0864903655552896,0.00018553923232295048
6.079069986276553,0.0001944589125195424
6.071657214991012,0.00020308689764388658
6.064247597815165,0.00021217738155743934
6.056841133150218,0.0002230072559081396
6.0494378193973875,0.00023487779592875547
6.042033214027883,0.0002474599798811761
6.03463619919181,0.0002607789260526449
6.027242330470517,0.0002749137426204597
6.019851606265215,0.0002900330987626962
6.012464024977113,0.0003057842536213861
6.005079585007423,0.00032174730784525227
5.99769385514752,0.00033746512218171663
5.9903156949014225,0.00035403852852231824
5.98294067117641,0.0003712457285637675
5.975568782373684,0.00038780522746169723
5.968200026894458,0.00040402939366419844
5.96083440313994,0.00042009266910182023
5.953471909511341,0.000436139196547509
5.946108127963028,0.00045291704915034005
5.938751891666322,0.0004708071726311819
5.931398780698204,0.0004898773803409887
5.924048793459882,0.0005109324287959991
5.916701928352564,0.0005336244607527851
5.909358183777465,0.0005570185876150555
5.902013152934251,0.0005811219862622203
5.8946756464978805,0.0006058866703655269
5.887341255796399,0.0006316045604123725
5.880009979231012,0.0006583670790237119
5.87268181520293,0.0006854732813914613
5.865356762113363,0.0007128810933308365
5.858030424372715,0.0007406758266841209
5.850711590228714,0.0007690397175570705
5.843395862225898,0.0007970756648166321
5.836083238765479,0.000825165772730159
5.828773718248658,0.00085381382526836
5.8214672990766525,0.0008830387327618029
5.814159596836049,0.0009132062564594018
5.806859377416452,0.0009440494810346567
5.799562254544334,0.0009756851065349622
5.792268226620907,0.0010084487851274974
5.7849772920473805,0.00104200122752984
5.777689449224969,0.0010761725701004855
5.770400324881886,0.001111061335215484
5.763118662618714,0.0011471923088934286
5.755840087309325,0.001184329392798972
5.748564597354925,0.001221924772592558
5.741292191156726,0.0012600217525529666
5.734022867115934,0.0012990605297104106
5.726752263067847,0.0013391098737381855
5.719489100393136,0.0013795469614578096
5.712229015078506,0.0014206110783292537
5.704972005525162,0.0014624191810982603
5.697718070134316,0.0015046418039938148
5.690467207307177,0.0015469733180687177
5.683215065951561,0.0015890958444993205
5.675970345297344,0.001631614763604649
5.6687286924095,0.001675597465628526
5.6614901056892455,0.0017210765063122501
5.654254583537782,0.0017672684390770805
5.647022124356327,0.0018137140236526093
5.639788388090661,0.0018605610519016188
5.632562051888964,0.0019075576808468444
5.625338773859938,0.0019546858305996497
5.618118552404799,0.002002873667971836
5.6109013859247545,0.002052861103500577
5.603682943537677,0.0021044289510546658
5.596471884042769,0.002156851946604896
5.589263874725621,0.0022092449719213307
5.5820589139874475,0.0022614416802762913
5.574857000229456,0.0023140332335513476
5.567658131852857,0.002367667834568911
5.56045798895014,0.00242245810351581
5.553265208365515,0.0024780400876151577
5.546075468364949,0.0025344589468419792
5.538888767349655,0.0025914620994512898
5.531705103720839,0.002648018860684427
5.524524475879715,0.0027038006556572907
5.517346882227491,0.002758818732186444
5.510168015616523,0.002813178419855493
5.502996487364571,0.0028680096304022503
5.4958279885041845,0.002923666730749631
5.48866251743658,0.0029799340984566843
5.481500072562963,0.003036781018920675
5.474336355821396,0.0030941534937543704
5.467179960353427,0.003151864856576431
5.4600265862821145,0.003209158501621614
5.452876232008671,0.0032663385898542706
5.445728895934304,0.00332434243309501
5.438584576460226,0.0033834321663943293
5.431438986395443,0.0034430318973532425
5.424300697133849,0.003501797291014718
5.417165419675211,0.0035591684619018025
5.4100331524207395,0.00361507469521991
5.402903893771639,0.003669259597252013
5.3957776421291275,0.003721931879420543
5.388650121138608,0.0037735148917034185
5.381529880515418,0.0038248402311072487
5.374412642101484,0.003876021282579763
5.367298404298013,0.0039264956518449854
5.360187165506215,0.003976194448350862
5.3530789241273,0.004025983537604677
5.34596941460852,0.004076296369401845
5.338867165055765,0.004126649395449669
5.3317679081185645,0.004177394143459263
5.324671642198125,0.004228887762269393
5.317578365695657,0.004280592443169448
5.310488077012368,0.004331708949374633
5.303396521362803,0.004381508030617379
5.296312205312517,0.004430205162629689
5.289230872284078,0.004478112353100486
5.282152520678701,0.00452493347232128
5.275077148897592,0.0045700882471336746
5.268004755341963,0.00461321549115609
5.260935338413022,0.004655410492518286
5.253864655843297,0.00469688479691477
5.246801189155652,0.004737855418744524
5.2397406942973666,0.0047781981639681
5.23268316966965,0.004817781637371666
5.225628613673708,0.004856842889304051
5.2185727929549985,0.00489515596132361
5.211524171205735,0.004932322270947653
5.2044785132909155,0.0049684462200494965
5.197435817611753,0.005004299935264325
5.190396082569458,0.005039941230801905
5.18335508369841,0.005074634821716688
5.176321266908167,0.0051076082904443106
5.16929040595746,0.0051390354887543245
